,asins,titles,review_counts,prices
153,B000547UG8,"Canon Eos 20D Digital SLR Lens Kit [8MP, 3 x Optical Zoom]",17,179.96
154,B01M2YQX6O,Canon EOS 1000D EF-S 18-55mm f/3.5-5.6 (non IS) Lens Kit (Certified Refurbished),0,249.99
155,B01CQPABLE,Canon EOS 1300D/Rebel T6/KISS X80 18-55/3.5-5.6 EF-S IS II,0,385.0
156,B001BYMC5K,Nikon D700 Digital SLR Camera Body Only (12.1MP) 3 inch LCD – (Discontinued by Manufacturer),53,524.99
157,B018MQYA4U,"Sony Alpha 68 Interchangeable Lens Camera (A mount, APS-C Sensor, 4D Focus, 79 Points Phase Detection) Body Only - Black",17,510.0
158,B004MPQXS2,Canon EOS 600D Digital SLR Camera (Body Only) (discontinued by manufacturer) – (Discontinued by Manufacturer),384,278.42
159,B0014IK7W8,Canon EOS 1000D Body Only,21,144.97
160,B002LSI1LO,Canon EOS 7D Digital SLR Camera (Body Only),163,345.0
161,B0025KV8Y0,Nikon D5000 Digital SLR Camera with 18-55mm VR Lens Kit (12.3MP) 2.7 inch LCD,78,243.99
162,B01MDNNNPL,Nikon D7000 Digital SLR Camera Body Only (16.2MP) 3 inch LCD (Certified Refurbished),0,399.99
163,B002CGS52K,Olympus Pen E-P1 Micro Four Thirds Digital SLR Camera (14-42 mm Black Lens Kit) - Silver,5,239.0
164,B072BPQ9S9,Tefamore Women Summer Boho Long Cocktail Dress Dress Sundress,8,10.99
165,B00131W8IW,Canon EOS 450D Digital SLR Camera Kit (incl EF-S 18-55mm IS f/3.5-5.6 non USM Lens Kit),92,145.0
166,B000KIX65S,Nikon D40 with AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED II,195,158.93
167,B018XVK444,Nikon D7200 Kit (18-140mm) Black,1,945.99
168,B000V9H5J4,Canon EOS 40D Digital SLR Camera (incl. EF-S 17-85mm f/4-5.6 IS USM Lens Kit),24,244.99
169,B008384CFU,"Pentax K-30 DSLR Camera with 18-55mm DAL Lens Kit - Blue (16MP, CMOS APS-C Sensor) 3 inch LCD",47,379.99
170,B0040X3DY8,Canon EOS 60D Digital SLR Camera (Inc EF-S 18-135mm f/3.5-5.6 IS Lens Kit),162,599.49
171,B0009J574G,Nikon D70S Digital SLR Camera (Body Only),0,119.99
172,B000V9KCEY,Canon EOS 40D Digital SLR Camera - Body Only,38,108.94
173,B00793ANHG,Nikon D800E Digital SLR Camera Body Only - Including Capture NX 2 (36.3MP) 3 inch LCD,4,849.99
174,B00403MGLO,Nikon D3100 Digital SLR Camera Body Only (14.2MP) 3 inch LCD,436,174.0
175,B000V1VG5G,Canon - PowerShot G9 (black),318,138.82
176,B0020MLKF0,Canon EOS 500D Digital SLR Camera (incl. EF-S 18-55 mm IS Lens Kit),131,189.99
177,B00BYPW03U,Canon EOS 700D - digital camera - body only,3,430.0
178,B00006HAAN,Nikon F100 Body Only,4,339.99
179,B07BR5LN4J,Canon EOS 2000D SLR Camera Kit with EF-S 18-55 mm IS Lens/16 GB SD Card and Case - Black,0,499.99
180,B00A2MSZUI,Nikon D5200 Digital SLR Camera Body Only - Black (24.1MP) 3 inch LCD,175,229.99
181,B073XM2MZ2,Tefamore Women Summer Boho Long Cocktail Dress Dress Sundress,8,10.99
182,B01ALFI2UI,Tonsee 18 Mega Pixels CMOS 2.7 inch TFT LCD Screen HD 720P Digital Camera (Black),25,25.43
183,B004U4UHRI,Nikon D5100 Digital SLR Camera Body Only (16.2MP) 3 inch LCD,53,169.66
184,B00FPH2COA,Nikon D610 Digital SLR Camera with 24-85mm Lens Kit (24.3MP) 3.2 inch LCD,54,1549.0
