,asins,titles,review_counts,prices
12964,B009DROS9K,"Scott Trail, Unisex Adults’ Trail Running",1,56.98 - 80.40
12965,B009DJ3TWA,Salomon XR Mission Trail running shoe Junior,0,63.69
12966,B009DJ11KW,Salomon - Boys' Running Shoes,6,
12967,B009D4UWTS,Nike Men's Mach Runner,27,122.16
12968,B009D4GQ7A,Nike Men's Rosherun Dyn Fw Qs Running Shoe,3,79.19
12969,B009D3JOKC,Nike AIR Max Direct Running Shoes,0,67.90
12970,B009CXF844,Nike Men’s Air Zoom Vomero 13 Training Shoes,8,138.13
12971,B009C91TN2,Nike Men's Tanjun Prem Paramount Blue/Black White Running Shoe 11.5 Men US,466,56.15
12972,B009AV446Q,"adidas Eyewear Tourpro L, Colour Shiny Black",1,95.23
12973,B009A88CR6,Reebok DMXSKY Run Blue/Nacho Mens Running Shoes,306,143.30
12974,B0099INYPC,nike Men's Free Run 5.0+ EXT Running Shoes UK 9.5,33,80.00
12975,B0098IJSI0,"New Balance - Mens 806 Motion Control Tennis / Court Shoes, UK: 12 UK - Width 4E, White with Navy",346,202.15
12976,B0098IJICG,"New Balance - Mens 806 Motion Control Tennis / Court Shoes, UK: 8 UK - Width 4E, White with Navy",346,202.14
12977,B0098ICUPS,Puma Puma Archive Lite Mid Uo,20,93.41
12978,B0098ICARG,Puma Toori Run Y Running Shoe,22,159.01
12979,B0098I0104,Nike Flex Experience RN Running shoe Men,3,45.40
12980,B0098GHWBC,Nike Lunarflash+ Running Shoes,11,60.90 - 173.72
12981,B0097O00WI,Nike Men’s Flex 2017 Rn Competition Running Shoes,119,69.90 - 178.13
12982,B00969Z056,Millet Mens Trident Gtx Trail Running Shoes,1,101.99 - 149.51
12983,B00969FVSW,"NIKE Men's Downshifted 7 (4E) Running Shoes (11.5 4E US, Black/White)",2,122.96
12984,B00969FVHI,"NIKE Men's Downshifted 7 (4E) Running Shoes (11 4E US, Black/White)",2,122.96
12985,B0094M2J5Y,"Adidas Response Cushion K Kids Shoe - Running Shoe - G61427 - Colour Running White/Lab Lime - White, UK 11.5 K",0,25.17
12986,B0092L7P1K,"Nike 831561-008, Men’s Trail Runnins Sneakers",83,61.61 - 89.99
12987,B0091MY2L6,Fischer XC Comfort My Style Cross Country Shoes,0,83.30 - 95.59
12988,B008YB3SYC,Nike Men’s Dart 12 Running Shoes,519,113.37 - 146.65
12989,B008WEZ9L6,Nike Men's Air Epic Speed TR Running Shoes,1,49.99 - 175.32
12990,B008V6M9OA,Inov-8 Trailroc 245 Trail Running Shoe,3,100.32
12991,B008S5NJS4,Nike RF M ADV Polo Premier Polo Shirt Short Sleeve T-Shirt,0,53.25 - 101.58
12992,B008RQM8EA,"Nike downshifter 6 (gs/ps) - Running Shoes, Boy, color Black (black/volt-cool grey-rio teal), size 35 1/2",119,39.45
12993,B008RQM6C4,Nike Boys Downshifter 6 (Gs/ps) Running Shoes,119,34.99 - 39.99
12994,B008PZ5EQM,Nike Lunarfly Plus 3 GTX Mens Running Shoes Grey/Silv/Red 6 UK UK,0,60.49
12995,B008O9WLQA,"Nike Junior Dart 9 Running Shoes, White",0,24.99
12996,B008NN30Y4,"Nike Men’s Air Zoom Pegasus 33 Training Shoes, Blue (Legion Blue/White/Chlorine Blue), 6 UK",0,86.54
12997,B008N8S7XS,Nike Women's Air Max 90 Ultra 2.0 Running Shoe,1,92.90
12998,B008MVTJ88,Brightz Ltd. Glow Brightz Green,10,25.99
